/*LISTA GERAL CLASSIFICADO POR NOTA*/
450  Administracao – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
581372	672.65	507.92	663.26	626.35	700 	L1	557.35	1
573918	574.04	626.62	701.92	664.14	700 	L1	557.06	2
553710	524.74	587.05	585.94	626.35	750 	L1	529.64	3
570990	623.35	507.92	585.94	550.76	600 	L1	492.85	4
551888	721.95	428.78	547.28	588.56	500 	L1	481.02	5
552930	574.04	468.35	624.60	550.76	600 	L1	478.63	6
566837	574.04	587.05	585.94	550.76	500 	L1	461.50	7
544349	623.35	587.05	508.61	626.35	450 	L1	461.05	8
570400	574.04	587.05	624.60	512.97	450 	L1	447.34	9
586663	574.04	587.05	624.60	475.18	400 	L1	427.65	10
563567	574.04	507.92	392.63	550.76	450 	L1	408.29	11
562863	574.04	547.48	353.97	437.38	400 	L1	377.94	12
545280	623.35	547.48	585.94	626.35	850 	L3	580.73	1
562839	574.04	587.05	701.92	701.94	500 	L3	499.66	2
583187	623.35	547.48	547.28	588.56	600 	L3	498.38	3
583889	574.04	507.92	508.61	588.56	650 	L3	487.40	4
592088	574.04	547.48	663.26	512.97	450 	L3	447.21	5
571910	524.74	626.62	585.94	512.97	400 	L3	419.09	6
588436	524.74	587.05	508.61	437.38	450 	L3	405.88	7
584534	475.44	468.35	508.61	437.38	550 	L3	403.41	8
554115	820.55	587.05	817.91	739.73	500 	L5	592.06	1
588986	672.65	547.48	508.61	475.18	500 	L5	462.17	2
561060	524.74	587.05	547.28	512.97	450 	L5	422.20	3
574027	574.04	468.35	508.61	550.76	400 	L5	404.92	4
592851	574.04	587.05	624.60	701.94	600 	L7	517.19	1
578504	574.04	587.05	547.28	626.35	550 	L7	481.06	2
588527	574.04	507.92	624.60	588.56	550 	L7	475.40	3
581651	672.65	547.48	585.94	475.18	400 	L7	444.65	4
549607	574.04	468.35	585.94	437.38	450 	L7	414.06	5
544915	574.04	468.35	547.28	475.18	450 	L7	413.93	6
565757	672.65	389.21	547.28	437.38	400 	L7	411.12	7
584447	623.35	587.05	585.94	475.18	300 	L7	407.64	8
587347	475.44	507.92	624.60	550.76	350 	L7	384.69	9
549472	475.44	587.05	469.95	512.97	400 	L7	382.79	10

793  Administracao – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
571819	721.95	666.19	701.92	815.32	950 	AC	706.85	1
567764	574.04	705.76	740.59	626.35	900 	AC	636.25	2
585333	721.95	705.76	740.59	701.94	750 	AC	635.95	3
564326	574.04	705.76	663.26	777.52	750 	AC	613.76	4
588619	623.35	587.05	585.94	701.94	800 	AC	592.03	5
592152	524.74	626.62	701.92	588.56	850 	AC	584.14	6
587495	771.25	507.92	663.26	701.94	700 	AC	583.51	7
555002	672.65	705.76	817.91	701.94	550 	AC	573.83	8
579708	623.35	626.62	663.26	588.56	750 	AC	570.00	9
581298	524.74	547.48	663.26	664.14	800 	AC	564.56	10
579069	672.65	547.48	585.94	626.35	750 	AC	563.86	11
551476	623.35	547.48	817.91	777.52	600 	AC	562.43	12
583880	623.35	666.19	624.60	739.73	600 	AC	559.28	13
568348	721.95	587.05	663.26	664.14	600 	AC	551.92	14
562202	771.25	587.05	585.94	475.18	700 	AC	546.26	15
549276	623.35	547.48	701.92	664.14	650 	AC	543.15	16
591289	771.25	587.05	469.95	588.56	650 	AC	542.33	17
587884	524.74	507.92	585.94	626.35	800 	AC	541.36	18
592375	524.74	547.48	624.60	701.94	700 	AC	538.26	19
584720	574.04	547.48	740.59	588.56	700 	AC	537.04	20
577780	574.04	428.78	585.94	626.35	800 	AC	535.39	21
557785	623.35	468.35	624.60	512.97	800 	AC	534.36	22
571803	524.74	587.05	624.60	550.76	750 	AC	530.94	23
584109	623.35	626.62	624.60	550.76	650 	AC	528.57	24
591416	623.35	507.92	624.60	664.14	650 	AC	527.51	25
554058	524.74	547.48	663.26	626.35	700 	AC	527.01	26
582030	672.65	507.92	740.59	701.94	550 	AC	526.52	27
579603	623.35	587.05	585.94	512.97	700 	AC	524.23	28
586641	574.04	547.48	740.59	664.14	600 	AC	522.16	29
555951	623.35	547.48	547.28	626.35	650 	AC	520.13	30
573882	623.35	507.92	469.95	399.59	850 	AC	519.13	31
590049	623.35	587.05	585.94	550.76	650 	AC	516.79	32
547749	672.65	507.92	624.60	626.35	600 	AC	514.81	33
558894	820.55	547.48	508.61	550.76	550 	AC	510.59	34
589234	623.35	587.05	817.91	777.52	400 	AC	510.34	35
549380	475.44	547.48	585.94	550.76	750 	AC	509.30	36
565789	574.04	587.05	508.61	664.14	600 	AC	506.87	37
588494	524.74	626.62	585.94	626.35	600 	AC	505.10	38
584764	672.65	666.19	585.94	512.97	550 	AC	504.92	39
583365	623.35	705.76	431.29	437.38	650 	AC	502.39	40
548853	672.65	587.05	547.28	588.56	550 	AC	500.34	41
565888	672.65	547.48	624.60	588.56	550 	AC	500.16	42
579342	524.74	507.92	547.28	588.56	700 	AC	499.94	43
571329	574.04	547.48	585.94	550.76	650 	AC	499.02	44
561044	574.04	587.05	547.28	588.56	600 	AC	495.62	45
591199	721.95	507.92	624.60	626.35	500 	AC	494.67	46
581248	574.04	468.35	624.60	588.56	650 	AC	494.61	47
586596	623.35	507.92	585.94	588.56	600 	AC	493.52	48
583767	623.35	705.76	547.28	550.76	500 	AC	491.67	49
591358	672.65	705.76	508.61	437.38	550 	AC	489.98	50
563267	623.35	468.35	585.94	588.56	600 	AC	485.61	51
569900	524.74	468.35	779.25	664.14	550 	AC	485.34	52
582829	574.04	626.62	508.61	437.38	650 	AC	484.44	53
581670	820.55	547.48	508.61	475.18	500 	AC	480.47	54
579253	475.44	547.48	585.94	701.94	550 	AC	479.53	55
589316	623.35	547.48	508.61	588.56	550 	AC	478.70	56
553551	524.74	626.62	547.28	588.56	550 	AC	478.68	57
554520	524.74	666.19	508.61	550.76	550 	AC	475.17	58
557375	623.35	547.48	547.28	550.76	550 	AC	475.01	59
579564	672.65	626.62	585.94	475.18	500 	AC	474.45	60
591110	623.35	468.35	547.28	550.76	600 	AC	474.18	61
578527	574.04	547.48	469.95	399.59	700 	AC	472.18	62
548739	623.35	507.92	740.59	701.94	400 	AC	471.66	63
566284	524.74	547.48	624.60	588.56	550 	AC	470.58	64
576614	672.65	507.92	624.60	626.35	450 	AC	469.81	65
548835	475.44	587.05	392.63	550.76	650 	AC	467.88	66
584558	524.74	587.05	585.94	626.35	500 	AC	467.19	67
579881	524.74	587.05	508.61	512.97	600 	AC	466.78	68
564694	475.44	547.48	585.94	588.56	550 	AC	456.85	69
556858	574.04	547.48	585.94	626.35	450 	AC	454.13	70
574087	672.65	389.21	547.28	475.18	600 	AC	453.10	71
585325	524.74	587.05	585.94	550.76	500 	AC	452.07	72
560104	524.74	587.05	585.94	475.18	550 	AC	451.95	73
582312	574.04	507.92	547.28	588.56	500 	AC	449.80	74
585005	524.74	547.48	663.26	512.97	500 	AC	444.33	75
582009	672.65	547.48	392.63	550.76	450 	AC	439.41	76
578166	623.35	507.92	624.60	588.56	400 	AC	437.39	77
573648	475.44	428.78	624.60	512.97	600 	AC	436.86	78
555316	475.44	547.48	547.28	475.18	550 	AC	430.31	79
562267	672.65	507.92	585.94	512.97	400 	AC	428.27	80
589538	574.04	587.05	547.28	664.14	300 	AC	420.74	81
568034	475.44	507.92	663.26	550.76	450 	AC	419.11	82
572658	475.44	468.35	508.61	512.97	550 	AC	418.18	83
592610	475.44	428.78	469.95	512.97	500 	AC	391.40	84
592404	623.35	428.78	547.28	588.56	300 	AC	383.83	85
584512	524.74	507.92	547.28	512.97	300 	AC	364.82	86
577008	623.35	428.78	547.28	475.18	300 	AC	361.15	87
582818	524.74	468.35	508.61	475.18	350 	AC	360.48	88
589018	376.84	468.35	508.61	475.18	400 	AC	345.90	89
582746	574.04	626.62	585.94	664.14	700 	L1	552.52	1
553669	721.95	587.05	585.94	588.56	600 	L1	529.07	2
577314	574.04	507.92	547.28	512.97	800 	L1	524.68	3
557317	623.35	468.35	663.26	588.56	700 	L1	523.34	4
554130	623.35	626.62	701.92	550.76	600 	L1	521.30	5
572714	623.35	547.48	624.60	512.97	700 	L1	520.18	6
545994	623.35	626.62	663.26	550.76	600 	L1	517.44	7
574505	574.04	547.48	624.60	664.14	600 	L1	510.56	8
585792	672.65	587.05	585.94	475.18	600 	L1	496.53	9
579053	574.04	587.05	624.60	626.35	500 	L1	480.91	10
579688	524.74	547.48	585.94	626.35	550 	L1	474.27	11
563424	524.74	547.48	663.26	626.35	500 	L1	467.01	12
556856	574.04	547.48	508.61	475.18	600 	L1	461.17	13
583437	475.44	547.48	547.28	626.35	500 	L1	445.55	14
588506	721.95	666.19	469.95	512.97	350 	L1	443.18	15
591079	574.04	507.92	547.28	475.18	500 	L1	427.12	16
591023	574.04	468.35	431.29	437.38	550 	L1	415.05	17
558254	524.74	507.92	585.94	437.38	500 	L1	413.57	18
559170	574.04	507.92	508.61	626.35	350 	L1	408.49	19
575323	475.44	468.35	547.28	512.97	450 	L1	392.04	20
578734	524.74	626.62	585.94	512.97	600 	L3	482.43	1
549921	475.44	547.48	663.26	588.56	550 	L3	464.59	2
575980	574.04	547.48	624.60	512.97	500 	L3	450.32	3
578965	574.04	507.92	469.95	550.76	550 	L3	449.50	4
565516	623.35	547.48	585.94	550.76	350 	L3	418.88	5
544641	524.74	547.48	585.94	475.18	350 	L3	384.04	6
543735	623.35	626.62	624.60	701.94	650 	L5	558.81	1
567118	820.55	507.92	779.25	664.14	550 	L5	552.41	2
559125	721.95	547.48	740.59	739.73	550 	L5	551.86	3
579294	623.35	507.92	585.94	475.18	800 	L5	530.85	4
548022	574.04	666.19	740.59	664.14	500 	L5	515.90	5
583439	672.65	587.05	547.28	664.14	500 	L5	500.46	6
574493	574.04	626.62	585.94	475.18	650 	L5	499.73	7
564999	574.04	745.33	624.60	399.59	600 	L5	497.22	8
585791	574.04	547.48	624.60	626.35	550 	L5	488.00	9
553310	524.74	547.48	663.26	512.97	600 	L5	474.33	10
548421	524.74	468.35	624.60	588.56	600 	L5	469.75	11
551699	524.74	507.92	508.61	512.97	650 	L5	465.95	12
543643	574.04	507.92	469.95	588.56	550 	L5	457.06	13
556803	524.74	507.92	547.28	512.97	600 	L5	454.82	14
591145	574.04	547.48	624.60	512.97	500 	L5	450.32	15
546378	623.35	428.78	469.95	475.18	600 	L5	443.42	16
588522	721.95	547.48	585.94	512.97	350 	L5	431.04	17
553890	524.74	507.92	663.26	588.56	350 	L5	406.53	18
579837	524.74	468.35	624.60	626.35	300 	L5	387.31	19
545623	475.44	547.48	508.61	626.35	900 	L7	561.68	1
573630	524.74	587.05	508.61	475.18	900 	L7	549.22	2
578884	574.04	547.48	701.92	588.56	700 	L7	533.17	3
576741	771.25	507.92	585.94	626.35	600 	L7	530.66	4
562002	623.35	507.92	663.26	550.76	550 	L7	478.70	5
551132	524.74	626.62	547.28	588.56	550 	L7	478.68	6
592716	574.04	547.48	585.94	664.14	450 	L7	461.69	7
564988	623.35	547.48	624.60	550.76	400 	L7	437.74	8
578380	574.04	547.48	353.97	437.38	350 	L7	363.14	9

901  Administracao – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
545263	574.04	626.62	779.25	739.73	750 	AC	616.91	1
558907	721.95	587.05	508.61	777.52	700 	AC	579.49	2
583896	672.65	666.19	701.92	475.18	650 	AC	549.62	3
544477	672.65	547.48	624.60	512.97	700 	AC	539.92	4
592216	524.74	666.19	585.94	739.73	600 	AC	533.07	5
557604	574.04	626.62	701.92	512.97	650 	AC	532.89	6
557807	623.35	547.48	585.94	664.14	600 	AC	517.12	7
585244	672.65	468.35	585.94	664.14	550 	AC	495.48	8
586129	672.65	507.92	624.60	588.56	500 	AC	479.25	9
559668	623.35	389.21	585.94	664.14	550 	AC	474.07	10
589943	524.74	547.48	585.94	550.76	550 	AC	465.12	11
577422	574.04	626.62	547.28	550.76	500 	AC	463.42	12
556671	721.95	547.48	585.94	626.35	400 	AC	460.59	13
590304	672.65	468.35	469.95	664.14	500 	AC	459.48	14
591348	574.04	468.35	624.60	588.56	500 	AC	456.23	15
578154	524.74	666.19	508.61	550.76	500 	AC	455.35	16
558164	574.04	587.05	508.61	626.35	450 	AC	446.31	17
569750	721.95	507.92	547.28	399.59	500 	AC	443.09	18
560946	672.65	507.92	547.28	437.38	500 	AC	441.17	19
578636	623.35	626.62	585.94	512.97	400 	AC	438.45	20
588385	475.44	587.05	469.95	512.97	550 	AC	437.87	21
576112	623.35	587.05	469.95	550.76	450 	AC	435.49	22
544540	574.04	468.35	547.28	512.97	500 	AC	430.74	23
585124	721.95	626.62	469.95	475.18	400 	AC	429.25	24
558939	574.04	547.48	585.94	475.18	450 	AC	427.41	25
584924	574.04	507.92	624.60	664.14	350 	AC	425.42	26
558756	623.35	468.35	701.92	550.76	350 	AC	421.03	27
587699	574.04	547.48	547.28	361.80	500 	AC	418.73	28
550618	524.74	626.62	469.95	437.38	450 	AC	406.75	29
581564	574.04	507.92	508.61	664.14	350 	AC	406.09	30
578442	623.35	468.35	469.95	626.35	350 	AC	394.97	31
554230	574.04	547.48	547.28	512.97	350 	AC	393.93	32
565010	574.04	666.19	469.95	475.18	300 	AC	377.86	33
566274	574.04	626.62	547.28	437.38	300 	AC	377.86	34
583885	623.35	587.05	547.28	512.97	250 	AC	375.41	35
554168	475.44	587.05	431.29	512.97	350 	AC	364.76	36
591061	574.04	507.92	547.28	437.38	300 	AC	358.07	37
556487	524.74	468.35	431.29	512.97	350 	AC	353.19	38
578752	623.35	507.92	431.29	512.97	250 	AC	342.89	39
555105	524.74	468.35	508.61	437.38	300 	AC	336.82	40
565158	672.65	468.35	701.92	701.94	750 	L1	587.78	1
590717	672.65	666.19	547.28	475.18	600 	L1	507.18	2
589477	672.65	547.48	585.94	475.18	600 	L1	493.84	3
576154	524.74	507.92	508.61	475.18	650 	L1	466.38	4
588859	574.04	626.62	469.95	626.35	500 	L1	463.13	5
587551	574.04	666.19	585.94	550.76	300 	L1	409.79	6
560081	574.04	587.05	431.29	512.97	300 	L1	364.53	7
583304	524.74	507.92	547.28	550.76	600 	L3	468.75	1
557078	475.44	507.92	624.60	626.35	500 	L3	452.69	2
547912	672.65	547.48	547.28	664.14	350 	L3	435.56	3
563220	475.44	507.92	585.94	588.56	400 	L3	406.61	4
590824	623.35	705.76	663.26	588.56	550 	L5	527.12	1
565804	524.74	666.19	547.28	550.76	550 	L5	478.46	2
549660	574.04	547.48	663.26	626.35	350 	L5	432.16	3
564029	623.35	468.35	547.28	588.56	350 	L5	401.56	4
565228	623.35	626.62	585.94	701.94	550 	L7	519.94	1
578050	574.04	507.92	508.61	550.76	500 	L7	437.19	2
558408	574.04	507.92	547.28	512.97	450 	L7	420.67	3
551613	376.84	587.05	508.61	399.59	450 	L7	375.65	4
587933	524.74	587.05	469.95	475.18	350 	L7	373.12	5

1304  Administracao – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
578498	623.35	547.48	624.60	664.14	800 	AC	590.23	1
562408	574.04	705.76	585.94	664.14	700 	AC	568.62	2
589838	475.44	547.48	585.94	701.94	750 	AC	548.77	3
576725	672.65	547.48	508.61	550.76	750 	AC	543.55	4
587979	721.95	626.62	663.26	626.35	550 	AC	536.67	5
591326	672.65	547.48	740.59	701.94	500 	AC	524.08	6
589759	623.35	507.92	508.61	701.94	650 	AC	520.60	7
544397	672.65	626.62	547.28	588.56	600 	AC	519.49	8
547971	771.25	507.92	585.94	550.76	600 	AC	516.28	9
581922	623.35	507.92	663.26	475.18	600 	AC	491.92	10
543972	623.35	587.05	547.28	550.76	550 	AC	481.71	11
576555	524.74	547.48	663.26	664.14	500 	AC	480.24	12
543870	574.04	626.62	547.28	626.35	500 	AC	476.02	13
591051	623.35	587.05	469.95	588.56	550 	AC	475.12	14
569057	623.35	547.48	585.94	475.18	550 	AC	468.96	15
586009	771.25	587.05	547.28	512.97	450 	AC	466.73	16
592590	623.35	587.05	585.94	512.97	500 	AC	465.19	17
548338	475.44	587.05	585.94	626.35	500 	AC	459.43	18
550175	524.74	626.62	624.60	588.56	450 	AC	457.72	19
569511	672.65	587.05	663.26	626.35	350 	AC	455.19	20
550842	574.04	507.92	508.61	512.97	550 	AC	447.56	21
560802	623.35	587.05	508.61	550.76	450 	AC	441.93	22
584203	524.74	626.62	469.95	512.97	500 	AC	436.02	23
583095	574.04	507.92	508.61	512.97	500 	AC	430.89	24
548434	623.35	587.05	469.95	399.59	500 	AC	426.96	25
586061	623.35	507.92	469.95	475.18	500 	AC	426.37	26
554973	524.74	547.48	585.94	512.97	450 	AC	425.49	27
558362	623.35	468.35	469.95	550.76	450 	AC	415.70	28
561802	672.65	626.62	508.61	475.18	300 	AC	394.14	29
574085	524.74	547.48	585.94	437.38	300 	AC	362.89	30
574239	672.65	547.48	624.60	512.97	650 	L1	523.25	1
555013	574.04	626.62	585.94	588.56	550 	L1	492.83	2
588870	721.95	666.19	469.95	512.97	500 	L1	475.48	3
555862	574.04	547.48	547.28	626.35	500 	L1	462.83	4
573802	574.04	507.92	585.94	512.97	500 	L1	443.78	5
558520	574.04	507.92	547.28	550.76	500 	L1	443.63	6
560625	524.74	587.05	624.60	588.56	350 	L1	417.79	7
554055	524.74	468.35	547.28	437.38	300 	L1	343.26	8
587428	475.44	587.05	508.61	475.18	450 	L4	404.68	1
589953	672.65	587.05	624.60	701.94	600 	L5	544.67	1
553441	574.04	428.78	547.28	512.97	750 	L5	507.48	2
555765	721.95	468.35	585.94	361.80	700 	L5	503.31	3
549973	574.04	587.05	585.94	588.56	500 	L5	469.57	4
588397	475.44	587.05	431.29	512.97	450 	L5	398.09	5
546882	524.74	587.05	624.60	588.56	650 	L7	517.79	1
591795	524.74	468.35	585.94	588.56	550 	L7	458.23	2
571693	623.35	587.05	624.60	626.35	400 	L7	457.19	3
548701	524.74	587.05	547.28	626.35	600 	L13	494.54	1

1405  Administracao – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
546410	574.04	587.05	508.61	512.97	850 	AC	560.75	1
554915	623.35	547.48	663.26	739.73	600 	AC	542.60	2
557161	869.86	587.05	585.94	626.35	550 	AC	541.83	3
585390	574.04	587.05	701.92	588.56	650 	AC	538.90	4
578011	771.25	626.62	624.60	701.94	500 	AC	534.37	5
592906	672.65	626.62	701.92	701.94	500 	AC	530.82	6
544999	623.35	547.48	701.92	512.97	500 	AC	477.92	7
592119	574.04	547.48	701.92	664.14	400 	AC	461.57	8
592627	721.95	468.35	547.28	626.35	450 	AC	457.62	9
551239	672.65	587.05	508.61	475.18	500 	AC	454.22	10
578328	672.65	468.35	585.94	701.94	400 	AC	451.78	11
572334	475.44	587.05	547.28	550.76	500 	AC	440.39	12
551234	475.44	468.35	624.60	550.76	500 	AC	433.49	13
590481	623.35	547.48	431.29	550.76	450 	AC	422.45	14
582252	574.04	547.48	547.28	626.35	350 	AC	412.83	15
592299	672.65	507.92	469.95	399.59	400 	AC	388.65	16
586288	574.04	507.92	508.61	475.18	350 	AC	374.59	17
561539	672.65	626.62	508.61	475.18	500 	L1	460.81	1
584125	574.04	468.35	585.94	701.94	450 	L1	452.01	2
587185	623.35	587.05	547.28	550.76	500 	L3	465.04	1
551066	623.35	468.35	547.28	550.76	500 	L4	445.26	1
574983	623.35	587.05	585.94	588.56	550 	L5	494.45	1
584258	524.74	587.05	547.28	626.35	500 	L7	461.20	1
567989	475.44	468.35	547.28	475.18	550 	L7	424.67	2

1703  Administracao – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
549902	524.74	547.48	817.91	588.56	950 	AC	582.10	1
